VALUE, ITERATIVE, RECURSIVE
375, 2.0010471343994142e-05, 0.0
376, 2.0225048065185546e-05, 1.531362533569336e-05
377, 3.0379295349121094e-05, 9.977817535400391e-06
378, 1.010417938232422e-05, 9.953975677490234e-06
379, 2.018451690673828e-05, 0.0
380, 2.9828548431396484e-05, 0.0
381, 2.0210742950439452e-05, 0.0
382, 2.0167827606201173e-05, 1.0044574737548829e-05
383, 2.02178955078125e-05, 0.0
384, 2.0132064819335937e-05, 0.0
385, 1.999855041503906e-05, 0.0
386, 3.0014514923095703e-05, 0.0
387, 2.7420520782470704e-05, 9.844303131103515e-06
388, 3.018379211425781e-05, 0.0
389, 2.028226852416992e-05, 9.72747802734375e-06
390, 2.0301342010498048e-05, 9.882450103759766e-06
391, 2.0020008087158203e-05, 9.88006591796875e-06
392, 2.992868423461914e-05, 0.0
393, 2.004861831665039e-05, 9.911060333251953e-06
394, 2.977609634399414e-05, 0.0
395, 3.023386001586914e-05, 9.984970092773438e-06
396, 2.0143985748291014e-05, 0.0
397, 1.999855041503906e-05, 9.961128234863282e-06
398, 2.017974853515625e-05, 0.0
399, 3.988981246948242e-05, 1.0192394256591797e-05
400, 2.0110607147216796e-05, 1.0395050048828125e-05
401, 3.0009746551513673e-05, 1.9917488098144533e-05
402, 2.996683120727539e-05, 1.0175704956054687e-05
403, 3.0002593994140626e-05, 0.0
404, 3.325223922729492e-05, 0.0
405, 2.0132064819335937e-05, 9.968280792236329e-06
406, 2.999067306518555e-05, 1.0006427764892578e-05
407, 1.9989013671875e-05, 9.996891021728516e-06
408, 3.002643585205078e-05, 0.0
409, 1.9855499267578125e-05, 1.0211467742919921e-05
410, 2.9766559600830077e-05, 0.0
411, 2.9942989349365235e-05, 0.0
412, 2.015352249145508e-05, 0.0
413, 2.017498016357422e-05, 0.0
414, 4.015922546386719e-05, 9.992122650146484e-06
415, 2.031564712524414e-05, 0.0
416, 1.9881725311279297e-05, 1.015186309814453e-05
417, 2.0196437835693358e-05, 0.0
418, 2.9821395874023437e-05, 1.016855239868164e-05
419, 2.0110607147216796e-05, 9.980201721191406e-06
420, 3.000497817993164e-05, 9.989738464355468e-06
421, 3.000020980834961e-05, 9.99927520751953e-06
422, 4.9896240234375e-05, 1.024007797241211e-05
423, 9.963512420654297e-06, 0.0
424, 1.999855041503906e-05, 9.86337661743164e-06
425, 3.01361083984375e-05, 0.0
426, 1.0159015655517578e-05, 9.946823120117187e-06
427, 2.0189285278320314e-05, 9.899139404296876e-06
428, 3.999471664428711e-05, 0.0
429, 2.016305923461914e-05, 9.9945068359375e-06
430, 3.5762786865234375e-05, 1.9927024841308593e-05
431, 1.9862651824951172e-05, 0.0
432, 3.0243396759033202e-05, 0.0
433, 3.0024051666259767e-05, 1.0216236114501953e-05
434, 4.9970149993896485e-05, 1.0049343109130859e-05
435, 1.9817352294921876e-05, 9.946823120117187e-06
436, 3.0210018157958983e-05, 0.0
437, 1.9996166229248048e-05, 9.989738464355468e-06
438, 4.0166378021240234e-05, 0.0
439, 2.9859542846679686e-05, 0.0
440, 2.999544143676758e-05, 2.00653076171875e-05
441, 2.848625183105469e-05, 5.326271057128906e-06
442, 3.221750259399414e-05, 1.2221336364746093e-05
443, 3.00908088684082e-05, 0.0
444, 3.0024051666259767e-05, 0.0
445, 2.0041465759277344e-05, 1.0161399841308593e-05
446, 1.9986629486083984e-05, 1.0001659393310548e-05
447, 2.0046234130859375e-05, 1.0004043579101563e-05
448, 2.981424331665039e-05, 0.0
449, 2.022266387939453e-05, 9.756088256835938e-06
450, 2.994060516357422e-05, 1.0025501251220702e-05
451, 2.987861633300781e-05, 9.992122650146484e-06
452, 2.040386199951172e-05, 9.78231430053711e-06
453, 3.0128955841064454e-05, 0.0
454, 2.5556087493896484e-05, 1.0120868682861329e-05
455, 1.9898414611816405e-05, 9.977817535400391e-06
456, 9.008169174194336e-05, 4.0128231048583985e-05
457, 7.026910781860352e-05, 2.0000934600830078e-05
458, 0.00011997461318969726, 0.0001904749870300293
459, 4.986763000488281e-05, 1.0058879852294921e-05
460, 0.0001298952102661133, 9.965896606445312e-06
461, 4.9960613250732425e-05, 0.0
462, 3.000020980834961e-05, 0.0
463, 3.0007362365722656e-05, 1.0097026824951172e-05
464, 7.999420166015625e-05, 0.00012008905410766602
465, 4.988908767700195e-05, 9.958744049072266e-06
